street_name,price,area,air_conditioning,fridge,washing_machine,mezzanine,kitchen,wardrobe,bed,balcony,elevator,free_time,parking,district,month,latitude,longitude,dist_to_q1_km,district_median_price,is_hot_street,amenity_ratio
Nguyễn Nhữ Lãm,4.5,40.0,1,0,1,0,1,0,0,1,0,1,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.45454545454545453
Tú Mỡ,2.5,30.0,0,0,0,0,1,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.09090909090909091
Lê Lợi,4.2,25.0,1,0,1,0,1,0,0,0,1,0,1,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,1,0.45454545454545453
Trần Văn Quang,3.8,30.0,0,0,0,1,0,0,0,0,1,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.18181818181818182
Trường Chinh,3.5,30.0,1,1,0,1,1,0,0,1,0,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.45454545454545453
Nguyễn Văn Đậu,5.6,30.0,0,0,0,0,0,0,0,0,0,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.0
Bùi Đình Túy,3.5,35.0,0,0,0,0,0,0,0,1,0,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.09090909090909091
Trần Đình Xu,6.0,30.0,1,0,0,0,0,0,0,0,1,0,0,Quận 1,6,10.7753939,106.6996249,0.0,5.0,0,0.18181818181818182
Thép Mới,4.1,25.0,1,1,1,0,1,1,0,1,0,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.5454545454545454
Nguyễn Hồng Đào,3.0,35.0,0,0,1,0,0,0,0,0,1,1,1,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.36363636363636365
Trương Công Định,2.9,28.0,0,0,1,0,0,0,0,0,1,1,1,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.36363636363636365
Bùi Đình Túy,5.0,25.0,1,0,0,0,1,1,0,0,0,1,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.36363636363636365
Thiên Hộ Dương,4.0,20.0,1,0,0,0,1,0,0,1,0,1,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Nguyễn Văn Lượng,4.5,20.0,1,0,0,0,1,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.18181818181818182
Nguyễn Thái Sơn,3.4,23.0,0,0,0,0,0,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.0
Phan Huy Ích,3.6,20.0,1,0,0,0,1,1,1,1,0,1,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.5454545454545454
Quang Trung,4.5,30.0,1,1,1,0,1,1,1,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.5454545454545454
Lê Đức Thọ,4.2,25.0,1,1,0,0,1,1,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Hoàng Văn Thụ,4.5,25.0,0,0,0,0,0,0,0,0,0,1,1,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.18181818181818182
Nguyễn Văn Khối,3.5,22.0,1,0,1,0,1,0,0,0,1,1,1,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.5454545454545454
Nguyễn Văn Linh,3.5,20.0,1,0,0,0,1,0,0,0,0,0,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.18181818181818182
Hàn Hải Nguyên,3.0,20.0,1,1,1,0,0,0,1,1,0,1,0,Quận 11,6,10.7656343,106.647607,5.784932577661899,3.5,0,0.5454545454545454
Phan Văn Trị,4.0,30.0,0,0,0,0,0,0,0,1,1,1,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.2727272727272727
Số,4.3,20.0,1,0,1,0,1,0,0,0,1,0,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.36363636363636365
